"name","in","out"
"MMB",16602687389,-14170306437
"MMB.Běžné výdaje",101309906.6,-8729817085.24
"MMB.Kapitálové výdaje",39968183.8,-2778569184.51
"MMB.Běžné výdaje. Neinvestiční nákupy a související výdaje",17252831.73,-2487750906.17
"MMB.Běžné výdaje. Neinvestiční nákupy a související výdaje. Nákup služeb",6275536.39,-1462350154
"MMB.Běžné výdaje. Neinvestiční nákupy a související výdaje. Nákup vody, paliv a energie",5620395.7,-100265930.09
"MMB.Běžné výdaje. Neinvestiční nákupy a související výdaje. Nákupy materiálu",547771.66,-90384488.63
"MMB.Běžné výdaje. Neinvestiční nákupy a související výdaje. Ostatní nákupy",1273674.88,-745791467.81
"MMB.Běžné výdaje. Neinvestiční nákupy a související výdaje. Poskytnuté zálohy, jistiny, záruky a vládní úvěry",3138020.1,-3139903.1
"MMB.Běžné výdaje. Neinvestiční nákupy a související výdaje. Úroky a ostatní finanční výdaje",0,-69421703.41
"MMB.Běžné výdaje. Neinvestiční nákupy a související výdaje. Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary",397433,-16397259.13
"MMB.Běžné výdaje. Neinvestiční půjčené prostředky",0,-39606348
"MMB.Běžné výdaje. Neinvestiční půjčené prostředky. Neinvestiční půjčené prostředky obyvatelstvu",0,-8126559
"MMB.Běžné výdaje. Neinvestiční půjčené prostředky. Neinvestiční půjčené prostředky příspěvkovým a podobným organizacím",0,-31479789
"MMB.Běžné výdaje. Neinvestiční transfery do zahraničí",0,-1044638.85
"MMB.Běžné výdaje. Neinvestiční transfery do zahraničí. Neinvestiční transfery mezinárodním organizacím a nadnárodním orgánům",0,-786648.85
"MMB.Běžné výdaje. Neinvestiční transfery do zahraničí. Ostatní neinvestiční transfery do zahraničí",0,-257990
"MMB.Běžné výdaje. Neinvestiční transfery obyvatelstvu",686442.75,-35500982.04
"MMB.Běžné výdaje. Neinvestiční transfery obyvatelstvu. Náhrady placené obyvatelstvu",14465.75,-4581872.75
"MMB.Běžné výdaje. Neinvestiční transfery obyvatelstvu. Ostatní neinvestiční transfery obyvatelstvu",671977,-30919109.29
"MMB.Běžné výdaje. Neinvestiční transfery soukromoprávním subjektům",2893071.94,-2110040997.93
"MMB.Běžné výdaje. Neinvestiční transfery soukromoprávním subjektům. Neinvestiční transfery neziskovým a podobným organizacím",2830071.94,-445148778.43
"MMB.Běžné výdaje. Neinvestiční transfery soukromoprávním subjektům. Neinvestiční transfery podnikatelským subjektům",63000,-1664892219.5
"MMB.Běžné výdaje. Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu",5365265.52,-2379892596.84
