,color,id,month,value,year
0,,God,,,
0,,God.Daňové příjmy,1,,2016
0,,"God.Daňové příjmy.Daně z příjmů, zisku a kapitálových výnosů",1,,2016
0,green,"God.Daňové příjmy.Daně z příjmů, zisku a kapitálových výnosů.Daně z příjmů fyzických osob",1,0.0,2016
0,red,"God.Daňové příjmy.Daně z příjmů, zisku a kapitálových výnosů.Daně z příjmů fyzických osob",1,205425525.69999996,2016
0,green,"God.Daňové příjmy.Daně z příjmů, zisku a kapitálových výnosů.Daně z příjmů právnických osob",1,0.0,2016
0,red,"God.Daňové příjmy.Daně z příjmů, zisku a kapitálových výnosů.Daně z příjmů právnických osob",1,65349622.33,2016
0,,God.Daňové příjmy.Daně ze zboží a služeb v tuzemsku,1,,2016
0,green,God.Daňové příjmy.Daně ze zboží a služeb v tuzemsku.Obecné daně ze zboží a služeb v tuzemsku,1,0.0,2016
0,red,God.Daňové příjmy.Daně ze zboží a služeb v tuzemsku.Obecné daně ze zboží a služeb v tuzemsku,1,302861921.97,2016
0,,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb,1,,2016
0,green,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb.Poplatky a odvody v oblasti  životního prostředí,1,0.0,2016
0,red,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb.Poplatky a odvody v oblasti  životního prostředí,1,56131.0,2016
0,green,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb.Místní poplatky z vybraných činností a služeb,1,1500.0,2016
0,red,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb.Místní poplatky z vybraných činností a služeb,1,13016048.63,2016
0,green,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb.Ostatní odvody z vybraných činností a služeb,1,860000.0,2016
0,red,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb.Ostatní odvody z vybraných činností a služeb,1,1090846.5,2016
0,green,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb.Správní poplatky,1,1450.0,2016
0,red,God.Daňové příjmy.Daně a poplatky z vybraných činností a služeb.Správní poplatky,1,7698585.0,2016
0,,God.Daňové příjmy.Majetkové daně,1,,2016
0,green,God.Daňové příjmy.Majetkové daně.Daně z majetku,1,0.0,2016
0,red,God.Daňové příjmy.Majetkové daně.Daně z majetku,1,1784361.64,2016
